title,name,component_attachment,property_template,value_template,datatype,value_transformation
Geography,geography,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refArea,http://statistics.data.gov.uk/id/statistical-geography/{geography},string,
Date,date,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/year/{date},string,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://gss-data.org.uk/def/measure/{measure_type},string,slugize
Unit,unit,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure,http://gss-data.org.uk/def/concept/measurement-units/{unit},string,unitize
SITC Section,sitc_section,qb:dimension,http://gss-data.org.uk/def/dimension/sitc-section,http://gss-data.org.uk/def/concept/sitc-sections/{sitc_section},string,slugize
Flow,flow,qb:dimension,http://gss-data.org.uk/def/dimension/flow,http://gss-data.org.uk/def/concept/flow-directions/{flow},string,slugize
GBP Total,gbp_total,qb:measure,http://gss-data.org.uk/def/measure/gbp-total,,string,
Net Mass,net_mass,qb:measure,http://gss-data.org.uk/def/measure/net-mass,,string,
Value,value,,http://gss-data.org.uk/def/measure/{measure_type},,number,
Year,year,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/year/{year},string,
Foreign Country,foreign_country,qb:dimension,http://gss-data.org.uk/def/dimension/foreign-country,http://gss-data.org.uk/def/concept/countries/{foreign_country},string,slugize
Combined Nomenclature,combined_nomenclature,qb:dimension,http://gss-data.org.uk/def/dimension/product,https://trade.ec.europa.eu/def/{combined_nomenclature},string,
Period,period,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/{+period},string,
CDID,cdid,qb:attribute,http://gss-data.org.uk/def/attribute/cdid,http://gss-data.org.uk/def/cdid/{cdid},string,
BOP Services,bop_services,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/bop-services/{bop_services},string,
Pink Book Services,pink_book_services,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/pink-book-services/{pink_book_services},string,
Seasonal Adjustment,seasonal_adjustment,qb:dimension,http://gss-data.org.uk/def/dimension/seasonal-adjustment,http://gss-data.org.uk/def/concept/seasonal-adjustments/{seasonal_adjustment},string,
Turnover,turnover_size_band,qb:dimension,http://gss-data.org.uk/def/dimension/turnover,http://gss-data.org.uk/def/concept/turnover-size-bands/{turnover_size_band},string,slugize
Employment,employment,qb:dimension,http://gss-data.org.uk/def/dimension/employment,http://gss-data.org.uk/def/concept/employment-size-bands/{employment},string,slugize
Age of Business,age_of_business,qb:dimension,http://gss-data.org.uk/def/dimension/age-of-business,http://gss-data.org.uk/def/concept/age-of-business/{age_of_business},string,slugize
Country of Ownership,country_of_ownership,qb:dimension,http://gss-data.org.uk/def/dimension/country-of-ownership,http://gss-data.org.uk/def/concept/countries-of-ownership/{country_of_ownership},string,slugize
CPA 2008,cpa2008,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://stamina-project.org/codes/cpav2008/{cpa2008},string,
Price Classification,price_classification,qb:dimension,http://gss-data.org.uk/def/dimension/price-classification,http://gss-data.org.uk/def/concept/price-classifications/{price_classification},string,
CORD SITC,cord_sitc,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/cord-sitc/{cord_sitc},string,
HMRC Partner Geography,hmrc_partner_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-partner-geography,http://gss-data.org.uk/def/concept/hmrc-geographies/{hmrc_partner_geography},string,
HMRC Reporter Geography,hmrc_reporter_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://statistics.data.gov.uk/id/statistical-geography/{hmrc_reporter_geography},string,
ONS Partner Geography,ons_partner_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-partner-geography,http://gss-data.org.uk/def/concept/ons-trade-areas-cord/{ons_partner_geography},string,
ONS Reporter Geography,ons_reporter_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://statistics.data.gov.uk/id/statistical-geography/{ons_reporter_geography},string,
NUTS1 Geography,nuts1_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://gss-data.org.uk/def/concept/nuts1-geography/{nuts1_geography},string,
International Trade Basis,international_trade_basis,qb:dimension,http://gss-data.org.uk/def/dimension/international-trade-basis,http://gss-data.org.uk/def/concept/international-trade-basis/{international_trade_basis},string,
Export and Import Activity,export_and_import_activity,qb:dimension,http://gss-data.org.uk/def/dimension/export-and-import-activity,http://gss-data.org.uk/def/concept/export-and-import-activity/{export_and_import_activity},string,slugize
Count of Businesses,count_of_businesses,qb:measure,http://gss-data.org.uk/def/measure/count-of-businesses,,string,
Count of Employees,count_of_employees,qb:measure,http://gss-data.org.uk/def/measure/count-of-employees,,string,
Count,count,qb:measure,http://gss-data.org.uk/def/measure/count,,string,
Proportion of all Business,proportion_of_all_business,qb:measure,http://gss-data.org.uk/def/measure/proportion-of-all-business,,string,
HMRC Industry,hmrc_industry,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/hmrc-industry-groups/{hmrc_industry},string,
Total Turnover,total_turnover,qb:measure,http://gss-data.org.uk/def/measure/total-turnover,,string,
HMRC Reporter Region,hmrc_reporter_region,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://gss-data.org.uk/def/concept/hmrc-regions/{hmrc_reporter_region},string,
SITC 4,sitc4,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/sitc-4/{sitc4},string,
ONS ABS Trade,ons_abs_trades,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/ons-abs-trades/{ons_abs_trades},string,slugize
Investment Direction,investment_direction,qb:dimension,http://gss-data.org.uk/def/dimension/investment-direction,http://gss-data.org.uk/def/concept/investment-direction/{investment_direction},string,
