Period,Export Services,Service Origin Geography,Service Destination,Flow Directions,Value,Marker
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKC,all,exports,7.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKD,all,exports,33.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKE,all,exports,35.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKF,all,exports,36.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKG,all,exports,17.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKH,all,exports,32.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKI,all,exports,11.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKJ,all,exports,25.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKK,all,exports,30.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKL,all,exports,10.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKM,all,exports,875.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UKN,all,exports,27.0,
year/2017,primary-and-utilities,http://data.europa.eu/nuts/code/UK,all,exports,1138.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKC,all,exports,1073.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKD,all,exports,1451.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKE,all,exports,418.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKF,all,exports,550.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKG,all,exports,594.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKH,all,exports,1306.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKI,all,exports,975.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKJ,all,exports,3185.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKK,all,exports,880.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKL,all,exports,2609.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKM,all,exports,2112.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UKN,all,exports,229.0,
year/2017,manufacturing,http://data.europa.eu/nuts/code/UK,all,exports,15383.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKC,all,exports,17.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKD,all,exports,47.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKE,all,exports,19.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKF,all,exports,38.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKG,all,exports,22.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKH,all,exports,145.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKI,all,exports,323.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKJ,all,exports,99.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKK,all,exports,31.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKL,all,exports,12.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKM,all,exports,82.0,
year/2017,construction,http://data.europa.eu/nuts/code/UKN,all,exports,248.0,
