Label,Notation,Parent Notation,Sort Priority
Total services,0,,1
Manufacturing services on physical inputs owned by others,1,,2
Other business services,10,,3
"Personal, cultural, and recreational services",11,,4
Government goods and services n.i.e.,12,,5
Maintenance and repair services,2,,6
Transport,3,,7
Travel,4,,8
Construction,5,,9
Insurance and pension services,6,,10
Financial services,7,,11
Charges for the use of intellectual property,8,,12
"Telecommunications, computer, and information services",9,,13
Distribution,13,,14
