Label,Notation,Parent Notation,Sort Priority,Description
1,1,,1,
2 to 9,2-to-9,,2,
10 to 19,10-to-19,,3,
20 to 49,20-to-49,,4,
50 to 99,50-to-99,,5,
100 to 249,100-to-249,,6,
250 and over,250-and-over,,7,
1 to 49,1-to-49,,8,
50 to 249,50-to-249,,9,
Any,any,,10,
No employees,0-employees,,11,
1 to 9 employees,1-to-9-employees,,12,
10 to 49 employees,10-to-49-employees,,13,
50 to 249 employees,50-to-249-employees,,14,
250 or more employees,250-employees,,15,
Unknown number of employees,unknown-employees,,16,
Total,total-employees,,17,
