Label,Notation,Parent Notation,Sort Priority,Description
Agriculture and Food,group1,Total,1,"SIC 2007 - A, 10 - 17"
"Mining, Petroleum products and Waste",group2,Total,2,"SIC 2007 - B, 19, 24, D, E"
Chemicals,group3,Total,3,"SIC 2007 - 20"
Pharmaceuticals,group4,Total,4,"SIC 2007 - 21"
Electronic and Electrical equipment,group5,Total,5,"SIC 2007 - 26, 27"
Machinery and equipment (not elsewhere specified),group6,Total,6,"SIC 2007 - 28"
"Motor vehicles, transport equipment (excl.aerospace)",group7,Total,7,"SIC 2007 - 29, 30 (excluding 30.3)"
Aerospace and related machinery,group8,Total,8,"SIC 2007 - 30.3"
Other manufacturing,group9,Total,9,"SIC 2007 - 18, 22, 23, 25, 31, 32"
Services,group10,Total,10,"SIC 2007 - 33, F - U"
Unknown,unknown,Total,11,
