title,name,component_attachment,property_template,value_template,datatype,value_transformation,regex,range
Geography,geography,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refArea,http://statistics.data.gov.uk/id/statistical-geography/{geography},string,,,
Date,date,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/year/{date},string,,,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://gss-data.org.uk/def/measure/{measure_type},string,slugize,,http://purl.org/linked-data/cube#MeasureProperty
Unit,unit,qb:attribute,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure,http://gss-data.org.uk/def/concept/measurement-units/{unit},string,unitize,,
SITC Section,sitc_section,qb:dimension,http://gss-data.org.uk/def/dimension/sitc-section,http://gss-data.org.uk/def/concept/sitc-sections/{sitc_section},string,slugize,,
Flow,flow,qb:dimension,http://gss-data.org.uk/def/dimension/flow-directions,http://gss-data.org.uk/def/concept/flow-directions/{flow},string,slugize,,
GBP Total,gbp_total,qb:measure,http://gss-data.org.uk/def/measure/gbp-total,,string,,,
Employee Count,employee_count,qb:measure,http://gss-data.org.uk/def/measure/employee-count,,string,,,
Business Count,business_count,qb:measure,http://gss-data.org.uk/def/measure/business-count,,string,,,
Net Mass,net_mass,qb:measure,http://gss-data.org.uk/def/measure/net-mass,,string,,,
Value,value,,http://gss-data.org.uk/def/measure/{measure_type},,number,,,
Year,year,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/year/{year},string,,,
Foreign Country,foreign_country,qb:dimension,http://gss-data.org.uk/def/dimension/foreign-country,http://gss-data.org.uk/def/concept/countries/{foreign_country},string,slugize,,
Trade Area,trade_area,qb:dimension,http://gss-data.org.uk/def/dimension/trade-area,http://gss-data.org.uk/def/concept/trade-area/{trade_area},string,slugize,,
Combined Nomenclature,combined_nomenclature,qb:dimension,http://gss-data.org.uk/def/dimension/product,https://trade.ec.europa.eu/def/{combined_nomenclature},string,,,
Period,period,qb:dimension,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,http://reference.data.gov.uk/id/{+period},string,,,http://www.w3.org/2006/time#Interval
CDID,cdid,qb:attribute,http://gss-data.org.uk/def/attribute/cdid,,string,,,
BOP Services,bop_services,qb:dimension,http://gss-data.org.uk/def/dimension/bop-services,http://gss-data.org.uk/def/concept/bop-services/{bop_services},string,,,
ITIS Service,itis_service,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/itis-services/{itis_service},string,,,
ITIS Industry,itis_industry,qb:dimension,http://gss-data.org.uk/def/dimension/itis-industry,http://gss-data.org.uk/def/concept/itis-industry/{itis_industry},string,,,
Pink Book Services,pink_book_services,qb:dimension,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/concept/pink-book-services/{pink_book_services},string,,,
Seasonal Adjustment,seasonal_adjustment,qb:dimension,http://gss-data.org.uk/def/dimension/seasonal-adjustment,http://gss-data.org.uk/def/concept/seasonal-adjustments/{seasonal_adjustment},string,,,
Turnover(GBP Thousands),turnover_size_band,qb:dimension,http://gss-data.org.uk/def/dimension/turnover,http://gss-data.org.uk/def/concept/turnover-size-bands/{turnover_size_band},string,slugize,,
Employment,employment,qb:dimension,http://gss-data.org.uk/def/dimension/employment,http://gss-data.org.uk/def/concept/employment-size-bands/{employment},string,slugize,,
Age of Business(Years),age_of_business,qb:dimension,http://gss-data.org.uk/def/dimension/age-of-business,http://gss-data.org.uk/def/concept/age-of-business/{age_of_business},string,slugize,,
Country of Ownership,country_of_ownership,qb:dimension,http://gss-data.org.uk/def/dimension/country-of-ownership,http://gss-data.org.uk/def/concept/countries-of-ownership/{country_of_ownership},string,slugize,,
CPA 2008,cpa2008,qb:dimension,http://gss-data.org.uk/def/dimension/cpa,http://stamina-project.org/codes/cpav2008/{cpa2008},string,,,
Price Classification,price_classification,qb:dimension,http://gss-data.org.uk/def/dimension/price-classification,http://gss-data.org.uk/def/concept/price-classifications/{price_classification},string,,,
CORD SITC,cord_sitc,qb:dimension,http://gss-data.org.uk/def/dimension/cord-sitc,http://gss-data.org.uk/def/concept/cord-sitc/{cord_sitc},string,,,
HMRC Partner Geography,hmrc_partner_geography,qb:dimension,http://gss-data.org.uk/def/dimension/hmrc-partner-geography,http://gss-data.org.uk/def/concept/hmrc-geographies/{hmrc_partner_geography},string,,,
HMRC Reporter Region,hmrc_reporter_region,qb:dimension,http://gss-data.org.uk/def/dimension/hmrc-reporter-region,http://gss-data.org.uk/def/concept/hmrc-regions/{hmrc_reporter_region},string,,,
ONS Partner Geography,ons_partner_geography,qb:dimension,http://gss-data.org.uk/def/dimension/ons-partner-geography,http://gss-data.org.uk/def/concept-scheme/sdmx-bop/cl_area/{ons_partner_geography},string,,,
ONS Reporter Geography,ons_reporter_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://statistics.data.gov.uk/id/statistical-geography/{ons_reporter_geography},string,,,
ONS Trade Areas ITIS,ons_trade_geo_itis,qb:dimension,http://gss-data.org.uk/def/dimension/trade-partner-geography,http://gss-data.org.uk/def/concept/ons-trade-areas-itis/{ons_trade_geo_itis},string,,,
NUTS Geography,nuts_geography,qb:dimension,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://gss-data.org.uk/def/concept/nuts-geography/{nuts_geography},string,,,
International Trade Basis,international_trade_basis,qb:dimension,http://gss-data.org.uk/def/dimension/international-trade-basis,http://gss-data.org.uk/def/concept/international-trade-basis/{international_trade_basis},string,,,
Export and Import Activity,export_and_import_activity,qb:dimension,http://gss-data.org.uk/def/dimension/export-and-import-activity,http://gss-data.org.uk/def/concept/export-and-import-activity/{export_and_import_activity},string,slugize,,
Count of Businesses,count_of_businesses,qb:measure,http://gss-data.org.uk/def/measure/count-of-businesses,,string,,,
Count of Employees,count_of_employees,qb:measure,http://gss-data.org.uk/def/measure/count-of-employees,,string,,,
